year,month,broadcast_monday,broadcast_sunday
2018,1,2017-12-25,2018-01-28
2018,2,2018-01-29,2018-02-25
2018,3,2018-02-26,2018-04-01
2018,4,2018-04-02,2018-04-29
2018,5,2018-04-30,2018-05-27
2018,6,2018-05-28,2018-07-01
2018,7,2018-07-02,2018-07-29
2018,8,2018-07-30,2018-08-26
2018,9,2018-08-27,2018-09-23
2018,10,2018-09-24,2018-10-28
2018,11,2018-10-29,2018-11-25
2019,1,2018-12-31,2019-01-27
2019,2,2019-01-28,2019-02-24
2019,3,2019-02-25,2019-03-24
2019,4,2019-03-25,2019-04-28
2019,5,2019-04-29,2019-05-26
2019,6,2019-05-27,2019-06-23
2019,7,2019-06-24,2019-07-28
2019,8,2019-07-29,2019-09-01
2019,9,2019-09-02,2019-09-29
2019,10,2019-09-30,2019-10-27
2019,11,2019-10-28,2019-12-01
2020,1,2019-12-30,2020-01-26
2020,2,2020-01-27,2020-03-01
2020,3,2020-03-02,2020-03-29
2020,4,2020-03-30,2020-04-26
2020,5,2020-04-27,2020-05-24
2020,6,2020-05-25,2020-06-28
2020,7,2020-06-29,2020-07-26
2020,8,2020-07-27,2020-08-30
2020,9,2020-08-31,2020-09-27
2020,10,2020-09-28,2020-11-01
2020,11,2020-11-02,2020-11-29
2021,1,2020-12-28,2021-01-24
2021,2,2021-01-25,2021-02-21
2021,3,2021-02-22,2021-03-28
2021,4,2021-03-29,2021-04-25
2021,5,2021-04-26,2021-05-30
2021,6,2021-05-31,2021-06-27
2021,7,2021-06-28,2021-08-01
2021,8,2021-08-02,2021-08-29
2021,9,2021-08-30,2021-09-26
2021,10,2021-09-27,2021-10-24
2021,11,2021-10-25,2021-11-28
2022,1,2021-12-27,2022-01-30
2022,2,2022-01-31,2022-02-27
2022,3,2022-02-28,2022-03-27
2022,4,2022-03-28,2022-05-01
2022,5,2022-05-02,2022-05-29
2022,6,2022-05-30,2022-06-26
2022,7,2022-06-27,2022-07-24
2022,8,2022-07-25,2022-08-28
2022,9,2022-08-29,2022-09-25
2022,10,2022-09-26,2022-10-30
2022,11,2022-10-31,2022-11-27
2023,1,2023-01-02,2023-01-29
2023,2,2023-01-30,2023-02-26
2023,3,2023-02-27,2023-03-26
2023,4,2023-03-27,2023-04-23
2023,5,2023-04-24,2023-05-28
2023,6,2023-05-29,2023-06-25
2023,7,2023-06-26,2023-07-30
2023,8,2023-07-31,2023-08-27
2023,9,2023-08-28,2023-10-01
2023,10,2023-10-02,2023-10-29
2023,11,2023-10-30,2023-11-26
2024,1,2023-12-25,2024-01-28
2024,2,2024-01-29,2024-02-25
2024,3,2024-02-26,2024-03-24
2024,4,2024-03-25,2024-04-28
2024,5,2024-04-29,2024-05-26
2024,6,2024-05-27,2024-06-23
2024,7,2024-06-24,2024-07-28
2024,8,2024-07-29,2024-09-01
2024,9,2024-09-02,2024-09-29
2024,10,2024-09-30,2024-10-27
2024,11,2024-10-28,2024-12-01
2025,1,2024-12-30,2025-01-26
2025,2,2025-01-27,2025-02-23
2025,3,2025-02-24,2025-03-30
2025,4,2025-03-31,2025-04-27
2025,5,2025-04-28,2025-06-01
2025,6,2025-06-02,2025-06-29
2025,7,2025-06-30,2025-07-27
2025,8,2025-07-28,2025-08-24
2025,9,2025-08-25,2025-09-28
2025,10,2025-09-29,2025-10-26
2025,11,2025-10-27,2025-11-23
2026,1,2025-12-29,2026-02-01
2026,2,2026-02-02,2026-03-01
2026,3,2026-03-02,2026-03-29
2026,4,2026-03-30,2026-04-26
2026,5,2026-04-27,2026-05-24
2026,6,2026-05-25,2026-06-28
2026,7,2026-06-29,2026-07-26
2026,8,2026-07-27,2026-08-30
2026,9,2026-08-31,2026-09-27
2026,10,2026-09-28,2026-11-01
2026,11,2026-11-02,2026-11-29
2027,1,2026-12-28,2027-01-24
2027,2,2027-01-25,2027-02-21
2027,3,2027-02-22,2027-03-28
2027,4,2027-03-29,2027-04-25
2027,5,2027-04-26,2027-05-30
2027,6,2027-05-31,2027-06-27
2027,7,2027-06-28,2027-08-01
2027,8,2027-08-02,2027-08-29
2027,9,2027-08-30,2027-09-26
2027,10,2027-09-27,2027-10-24
2027,11,2027-10-25,2027-11-28
2028,1,2027-12-27,2028-01-30
2028,2,2028-01-31,2028-02-27
2028,3,2028-02-28,2028-03-26
2028,4,2028-03-27,2028-04-23
2028,5,2028-04-24,2028-05-28
2028,6,2028-05-29,2028-06-25
2028,7,2028-06-26,2028-07-30
2028,8,2028-07-31,2028-08-27
2028,9,2028-08-28,2028-10-01
2028,10,2028-10-02,2028-10-29
2028,11,2028-10-30,2028-11-26
2029,1,2028-12-25,2029-01-28
2029,2,2029-01-29,2029-02-25
2029,3,2029-02-26,2029-04-01
2029,4,2029-04-02,2029-04-29
2029,5,2029-04-30,2029-05-27
2029,6,2029-05-28,2029-07-01
2029,7,2029-07-02,2029-07-29
2029,8,2029-07-30,2029-08-26
2029,9,2029-08-27,2029-09-23
2029,10,2029-09-24,2029-10-28
2029,11,2029-10-29,2029-11-25
2030,1,2029-12-31,2030-01-27
2030,2,2030-01-28,2030-02-24
2030,3,2030-02-25,2030-03-24
2030,4,2030-03-25,2030-04-28
2030,5,2030-04-29,2030-05-26
2030,6,2030-05-27,2030-06-23
2030,7,2030-06-24,2030-07-28
2030,8,2030-07-29,2030-09-01
2030,9,2030-09-02,2030-09-29
2030,10,2030-09-30,2030-10-27
2030,11,2030-10-28,2030-12-01
